Expert,SRS,Layer,Criterion,Score
H1,SRS #1,Model,Entity Extraction,4
H1,SRS #1,Model,Attribute Accuracy,4
H1,SRS #1,Model,Relationship Logic,4
H1,SRS #1,Model,Naming Consistency,5
H1,SRS #1,View,Screen Coverage,5
H1,SRS #1,View,User Journey Alignment,5
H1,SRS #1,View,Abstraction Level,4
H1,SRS #1,View,Hallucination Control,5
H1,SRS #1,Controller,Action Definition,5
H1,SRS #1,Controller,M-V-C Linkage,4
H1,SRS #1,Controller,Separation of Concerns,4
H1,SRS #1,Controller,Functional Completeness,5
H2,SRS #1,Model,Entity Extraction,5
H2,SRS #1,Model,Attribute Accuracy,5
H2,SRS #1,Model,Relationship Logic,4
H2,SRS #1,Model,Naming Consistency,5
H2,SRS #1,View,Screen Coverage,4
H2,SRS #1,View,User Journey Alignment,5
H2,SRS #1,View,Abstraction Level,4
H2,SRS #1,View,Hallucination Control,5
H2,SRS #1,Controller,Action Definition,4
H2,SRS #1,Controller,M-V-C Linkage,4
H2,SRS #1,Controller,Separation of Concerns,5
H2,SRS #1,Controller,Functional Completeness,4
H3,SRS #1,Model,Entity Extraction,4
H3,SRS #1,Model,Attribute Accuracy,4
H3,SRS #1,Model,Relationship Logic,4
H3,SRS #1,Model,Naming Consistency,4
H3,SRS #1,View,Screen Coverage,4
H3,SRS #1,View,User Journey Alignment,4
H3,SRS #1,View,Abstraction Level,4
H3,SRS #1,View,Hallucination Control,5
H3,SRS #1,Controller,Action Definition,5
H3,SRS #1,Controller,M-V-C Linkage,5
H3,SRS #1,Controller,Separation of Concerns,4
H3,SRS #1,Controller,Functional Completeness,5
H4,SRS #1,Model,Entity Extraction,5
H4,SRS #1,Model,Attribute Accuracy,4
H4,SRS #1,Model,Relationship Logic,4
H4,SRS #1,Model,Naming Consistency,5
H4,SRS #1,View,Screen Coverage,5
H4,SRS #1,View,User Journey Alignment,5
H4,SRS #1,View,Abstraction Level,4
H4,SRS #1,View,Hallucination Control,5
H4,SRS #1,Controller,Action Definition,4
H4,SRS #1,Controller,M-V-C Linkage,4
H4,SRS #1,Controller,Separation of Concerns,4
H4,SRS #1,Controller,Functional Completeness,4
H5,SRS #1,Model,Entity Extraction,3
H5,SRS #1,Model,Attribute Accuracy,4
H5,SRS #1,Model,Relationship Logic,4
H5,SRS #1,Model,Naming Consistency,4
H5,SRS #1,View,Screen Coverage,4
H5,SRS #1,View,User Journey Alignment,5
H5,SRS #1,View,Abstraction Level,4
H5,SRS #1,View,Hallucination Control,5
H5,SRS #1,Controller,Action Definition,5
H5,SRS #1,Controller,M-V-C Linkage,4
H5,SRS #1,Controller,Separation of Concerns,4
H5,SRS #1,Controller,Functional Completeness,5
H1,SRS #2,Model,Entity Extraction,3
H1,SRS #2,Model,Attribute Accuracy,3
H1,SRS #2,Model,Relationship Logic,2
H1,SRS #2,Model,Naming Consistency,3
H1,SRS #2,View,Screen Coverage,4
H1,SRS #2,View,User Journey Alignment,4
H1,SRS #2,View,Abstraction Level,3
H1,SRS #2,View,Hallucination Control,4
H1,SRS #2,Controller,Action Definition,3
H1,SRS #2,Controller,M-V-C Linkage,2
H1,SRS #2,Controller,Separation of Concerns,3
H1,SRS #2,Controller,Functional Completeness,3
