SRS,Violation_Type,Injected_Count,Detected_Count,False_Positive_Count,Repair_Attempted_Count,Repair_Successful_Count
SRS #1,Layer_Leakage,6,6,0,6,6
SRS #1,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #1,Business_Logic_Displacement,5,5,0,5,4
SRS #1,Undefined_Action_Call,5,5,1,5,5
SRS #2,Layer_Leakage,7,7,0,7,6
SRS #2,Illegal_Cross_Layer_Import,6,6,0,6,5
SRS #2,Business_Logic_Displacement,6,5,1,5,5
SRS #2,Undefined_Action_Call,5,5,0,5,4
SRS #3,Layer_Leakage,5,5,0,5,5
SRS #3,Illegal_Cross_Layer_Import,4,4,0,4,4
SRS #3,Business_Logic_Displacement,4,4,0,4,4
SRS #3,Undefined_Action_Call,4,4,0,4,3
SRS #4,Layer_Leakage,6,6,0,6,6
SRS #4,Illegal_Cross_Layer_Import,5,5,0,5,4
SRS #4,Business_Logic_Displacement,5,5,1,5,5
SRS #4,Undefined_Action_Call,5,4,0,4,4
SRS #5,Layer_Leakage,6,6,0,6,6
SRS #5,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #5,Business_Logic_Displacement,5,5,0,5,4
SRS #5,Undefined_Action_Call,4,4,1,4,4
SRS #6,Layer_Leakage,6,6,1,6,5
SRS #6,Illegal_Cross_Layer_Import,5,5,0,5,4
SRS #6,Business_Logic_Displacement,5,4,0,4,4
SRS #6,Undefined_Action_Call,4,4,0,4,3
SRS #7,Layer_Leakage,5,5,0,5,5
SRS #7,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #7,Business_Logic_Displacement,4,4,0,4,4
SRS #7,Undefined_Action_Call,4,4,0,4,4
SRS #8,Layer_Leakage,6,6,0,6,5
SRS #8,Illegal_Cross_Layer_Import,5,5,1,5,4
SRS #8,Business_Logic_Displacement,5,5,0,5,5
SRS #8,Undefined_Action_Call,4,4,0,4,3
SRS #9,Layer_Leakage,6,6,0,6,5
SRS #9,Illegal_Cross_Layer_Import,5,5,1,5,5
SRS #9,Business_Logic_Displacement,5,5,0,5,4
SRS #9,Undefined_Action_Call,5,4,0,4,4
SRS #10,Layer_Leakage,6,6,0,6,6
SRS #10,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #10,Business_Logic_Displacement,5,5,0,5,5
SRS #10,Undefined_Action_Call,5,5,1,5,4
SRS #11,Layer_Leakage,7,7,0,7,7
SRS #11,Illegal_Cross_Layer_Import,6,6,0,6,6
SRS #11,Business_Logic_Displacement,6,6,0,6,5
SRS #11,Undefined_Action_Call,5,5,0,5,5
SRS #12,Layer_Leakage,5,5,0,5,4
SRS #12,Illegal_Cross_Layer_Import,4,4,1,4,4
SRS #12,Business_Logic_Displacement,4,4,0,4,3
SRS #12,Undefined_Action_Call,4,4,0,4,4
SRS #13,Layer_Leakage,6,6,0,6,6
SRS #13,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #13,Business_Logic_Displacement,5,5,1,5,4
SRS #13,Undefined_Action_Call,4,4,0,4,4
SRS #14,Layer_Leakage,6,6,1,6,5
SRS #14,Illegal_Cross_Layer_Import,5,5,0,5,4
SRS #14,Business_Logic_Displacement,5,4,0,4,4
SRS #14,Undefined_Action_Call,4,4,0,4,3
SRS #15,Layer_Leakage,5,5,0,5,5
SRS #15,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #15,Business_Logic_Displacement,4,4,0,4,4
SRS #15,Undefined_Action_Call,4,4,1,4,3
SRS #16,Layer_Leakage,6,6,0,6,6
SRS #16,Illegal_Cross_Layer_Import,5,5,1,5,4
SRS #16,Business_Logic_Displacement,5,5,0,5,5
SRS #16,Undefined_Action_Call,4,4,0,4,4
SRS #17,Layer_Leakage,6,6,0,6,6
SRS #17,Illegal_Cross_Layer_Import,5,5,0,5,5
SRS #17,Business_Logic_Displacement,5,5,0,5,5
SRS #17,Undefined_Action_Call,5,5,0,5,5
SRS #18,Layer_Leakage,5,5,1,5,4
SRS #18,Illegal_Cross_Layer_Import,4,4,0,4,4
SRS #18,Business_Logic_Displacement,4,4,0,4,3
SRS #18,Undefined_Action_Call,4,4,0,4,4
SRS #19,Layer_Leakage,6,6,0,6,6
SRS #19,Illegal_Cross_Layer_Import,6,6,0,6,6
SRS #19,Business_Logic_Displacement,5,5,1,5,4
SRS #19,Undefined_Action_Call,5,5,0,5,5
SRS #20,Layer_Leakage,7,7,0,7,7
SRS #20,Illegal_Cross_Layer_Import,6,6,0,6,6
SRS #20,Business_Logic_Displacement,6,6,0,6,5
SRS #20,Undefined_Action_Call,5,5,1,5,5
